30.10.2014	9.091,13	9.114,84	9.146,95	8.899,90
29.10.2014	9.139,00	9.082,81	9.157,63	9.072,64
28.10.2014	8.983,06	9.068,19	9.077,89	8.968,59
27.10.2014	9.080,80	8.902,61	9.085,64	8.837,66
24.10.2014	9.008,60	8.987,80	9.044,85	8.955,59
23.10.2014	8.873,54	9.047,31	9.068,12	8.820,89
22.10.2014	8.934,54	8.940,14	8.957,16	8.861,44
21.10.2014	8.693,06	8.886,96	8.889,78	8.644,71
20.10.2014	8.819,26	8.717,76	8.834,73	8.682,59
17.10.2014	8.629,16	8.850,27	8.850,27	8.588,42
16.10.2014	8.623,28	8.582,90	8.662,86	8.354,97
15.10.2014	8.838,68	8.571,95	8.847,85	8.555,73
14.10.2014	8.765,36	8.825,21	8.854,39	8.701,44
13.10.2014	8.703,85	8.812,43	8.872,40	8.699,60
10.10.2014	8.924,58	8.788,81	8.958,66	8.788,21
09.10.2014	9.082,66	9.005,02	9.140,29	8.975,06
08.10.2014	9.027,90	8.995,33	9.064,88	8.960,43
07.10.2014	9.164,77	9.086,21	9.170,24	9.080,35
06.10.2014	9.341,05	9.209,51	9.343,65	9.185,86
02.10.2014	9.363,28	9.195,68	9.412,62	9.195,68
01.10.2014	9.454,04	9.382,03	9.520,97	9.357,55
30.09.2014	9.446,81	9.474,30	9.495,00	9.404,89
29.09.2014	9.495,58	9.422,91	9.504,98	9.369,62
26.09.2014	9.500,55	9.490,55	9.545,34	9.454,88
25.09.2014	9.644,36	9.510,01	9.718,11	9.482,54
24.09.2014	9.598,77	9.661,97	9.669,45	9.534,77
23.09.2014	9.713,40	9.595,03	9.719,66	9.589,03
22.09.2014	9.748,53	9.749,54	9.812,77	9.735,69
19.09.2014	9.849,43	9.799,26	9.891,20	9.799,24
18.09.2014	9.703,10	9.798,13	9.798,13	9.686,43
17.09.2014	9.672,98	9.661,50	9.695,44	9.649,99
16.09.2014	9.644,28	9.632,93	9.644,88	9.588,65
15.09.2014	9.603,97	9.659,63	9.682,46	9.600,15
12.09.2014	9.706,59	9.651,13	9.706,59	9.617,70
11.09.2014	9.729,89	9.691,28	9.732,83	9.630,67
10.09.2014	9.672,45	9.700,17	9.723,08	9.635,50
09.09.2014	9.737,56	9.710,70	9.769,21	9.695,44
08.09.2014	9.767,90	9.758,03	9.773,70	9.721,71
05.09.2014	9.714,24	9.747,02	9.774,65	9.691,44
04.09.2014	9.591,43	9.724,26	9.732,78	9.539,92
03.09.2014	9.541,02	9.626,49	9.683,10	9.528,72
02.09.2014	9.525,15	9.507,02	9.578,50	9.485,24
01.09.2014	9.484,53	9.479,03	9.500,20	9.424,78
29.08.2014	9.483,42	9.470,17	9.517,95	9.369,40
28.08.2014	9.545,21	9.462,56	9.546,81	9.417,16
27.08.2014	9.583,98	9.569,71	9.600,85	9.546,55
26.08.2014	9.481,56	9.588,15	9.591,72	9.446,37
25.08.2014	9.456,67	9.510,14	9.510,14	9.424,11
22.08.2014	9.390,29	9.339,17	9.414,39	9.291,93
21.08.2014	9.328,71	9.401,53	9.405,93	9.278,86
20.08.2014	9.329,89	9.314,57	9.333,68	9.247,84
19.08.2014	9.276,19	9.334,28	9.350,27	9.276,18
18.08.2014	9.220,99	9.245,33	9.261,65	9.195,11
15.08.2014	9.239,00	9.092,60	9.324,57	9.067,58
14.08.2014	9.161,81	9.225,10	9.265,92	9.149,41
13.08.2014	9.133,84	9.198,88	9.213,61	9.118,15
12.08.2014	9.166,92	9.069,47	9.171,94	9.050,00
11.08.2014	9.106,67	9.180,74	9.199,00	9.089,31
08.08.2014	8.928,19	9.009,32	9.061,00	8.903,49
07.08.2014	9.081,29	9.038,97	9.166,04	9.025,82
06.08.2014	9.084,52	9.130,04	9.166,21	9.030,72
05.08.2014	9.186,03	9.189,74	9.237,14	9.152,38
04.08.2014	9.222,05	9.154,14	9.243,23	9.130,34
01.08.2014	9.379,74	9.210,08	9.394,48	9.185,41
31.07.2014	9.576,16	9.407,48	9.582,74	9.395,35
30.07.2014	9.646,43	9.593,68	9.704,01	9.572,90
29.07.2014	9.607,10	9.653,63	9.692,33	9.573,48
28.07.2014	9.660,71	9.598,17	9.665,05	9.527,59
25.07.2014	9.770,24	9.644,01	9.794,85	9.620,58
24.07.2014	9.772,15	9.794,06	9.810,47	9.674,68
23.07.2014	9.727,43	9.753,56	9.802,06	9.723,98
22.07.2014	9.682,21	9.734,33	9.735,71	9.647,74
21.07.2014	9.711,68	9.612,05	9.717,70	9.597,62
18.07.2014	9.703,67	9.720,02	9.721,08	9.655,51
17.07.2014	9.819,45	9.753,88	9.845,85	9.743,62
16.07.2014	9.747,88	9.859,27	9.871,58	9.747,52
15.07.2014	9.764,69	9.719,41	9.788,71	9.711,86
14.07.2014	9.710,92	9.783,01	9.793,78	9.693,89
11.07.2014	9.672,17	9.666,34	9.708,43	9.623,36
10.07.2014	9.807,25	9.659,13	9.807,25	9.617,59
09.07.2014	9.789,05	9.808,20	9.817,47	9.752,79
08.07.2014	9.918,27	9.772,67	9.920,78	9.772,14
07.07.2014	9.992,13	9.906,07	10.015,36	9.905,60
04.07.2014	10.028,71	10.009,08	10.030,81	10.007,40
03.07.2014	9.910,47	10.029,43	10.032,28	9.907,01
02.07.2014	9.913,00	9.911,27	9.936,39	9.890,11
01.07.2014	9.853,74	9.902,41	9.902,41	9.835,74
